Year,Total Catch,EEZ Catch,Esc,Run,Esc Goal,Potential Yield EEZ,FEEZ,MFMT,MSST,Cumulative Escapement,ACL,Cumulative Catch,Overfishing?,Overfished?,ACL Exceeded?
1999,514.00,110.00,312.00,826.00,160.00,263.00,,,,,,,,,
2000,267.00,60.00,264.00,531.00,160.00,163.00,,,,,,,,,
2001,432.00,81.00,319.00,751.00,160.00,239.00,,,,,,,,,
2002,432.00,76.00,236.00,667.00,160.00,152.00,,,,,,,,,
2003,509.00,78.00,354.00,862.00,160.00,271.00,0.11,0.30,400.00,1484.00,1088.00,404.00,No,No,No
2004,897.00,160.00,524.00,1421.00,160.00,524.00,0.11,0.32,400.00,1695.00,1349.00,454.00,No,No,No
2005,867.00,71.00,360.00,1227.00,160.00,271.00,0.09,0.30,400.00,1792.00,1457.00,466.00,No,No,No
2006,1490.00,61.00,390.00,1880.00,160.00,291.00,0.07,0.25,400.00,1863.00,1509.00,446.00,No,No,No
2007,792.00,193.00,365.00,1157.00,160.00,398.00,0.09,0.27,400.00,1992.00,1755.00,563.00,No,No,No
2008,1248.00,160.00,327.00,1575.00,160.00,327.00,0.09,0.25,400.00,1966.00,1811.00,646.00,No,No,No
2009,779.00,87.00,326.00,1105.00,160.00,253.00,0.08,0.22,400.00,1768.00,1541.00,572.00,No,No,No
2010,523.00,73.00,295.00,819.00,160.00,208.00,0.09,0.23,400.00,1703.00,1477.00,574.00,No,No,No
2011,564.00,75.00,246.00,810.00,160.00,161.00,0.11,0.25,400.00,1559.00,1347.00,588.00,No,No,No
2012,258.00,65.00,375.00,632.00,160.00,280.00,0.09,0.25,400.00,1569.00,1229.00,460.00,No,No,No
2013,513.00,51.00,490.00,1003.00,160.00,381.00,0.08,0.29,400.00,1731.00,1282.00,351.00,No,No,No
2014,663.00,74.00,440.00,1103.00,160.00,354.00,0.08,0.32,400.00,1845.00,1383.00,338.00,No,No,No
2015,704.00,18.00,471.00,1175.00,160.00,328.00,0.06,0.32,400.00,2021.00,1504.00,283.00,No,No,No
2016,241.00,1.00,240.00,481.00,160.00,81.00,0.05,0.32,400.00,2015.00,1424.00,209.00,No,No,No
2017,443.00,39.00,359.00,802.00,160.00,238.00,0.04,0.30,400.00,1999.00,1382.00,183.00,No,No,No
2018,329.00,30.00,388.00,717.00,160.00,258.00,0.04,0.29,400.00,1898.00,1260.00,162.00,No,No,No
2019,240.00,10.00,373.00,613.00,160.00,223.00,0.03,0.30,400.00,1831.00,1128.00,98.00,No,No,No
2020,303.00,6.00,542.00,845.00,140.00,408.00,0.03,0.35,390.00,1902.00,1208.00,86.00,No,No,No
2021,409.00,21.00,517.00,925.00,140.00,398.00,0.03,0.39,380.00,2179.00,1525.00,107.00,No,No,No
