Year,Total Kenai late-run Catch,Kenai late-run EEZ Catch,Escapement,Run,Lower Bound of Esc Goal,Potential Yield EEZ,FEEZ,MFMT,MSST,Cumulative Escapement,ACL,Cumulative Catch,Overfishing?,Overfished?,ACL Exceeded?
1999,16557.00,62.00,29100.00,45657.00,13500.00,15662.00,,,,,,,,,
2000,16217.00,49.00,25502.00,41719.00,13500.00,12051.00,,,,,,,,,
2001,16223.00,58.00,29531.00,45754.00,13500.00,16089.00,,,,,,,,,
2002,15396.00,39.00,40514.00,55910.00,13500.00,27053.00,,,,,,,,,
2003,19523.00,109.00,48461.00,67984.00,13500.00,35070.00,,,,,,,,,
2004,26200.00,121.00,65112.00,91312.00,13500.00,51733.00,0.00,0.45,40500.00,238220.00,157658.00,438.00,No,No,No
2005,28501.00,194.00,55688.00,84189.00,13500.00,42382.00,0.00,0.48,40500.00,264808.00,184378.00,570.00,No,No,No
2006,17817.00,109.00,39305.00,57122.00,13500.00,25914.00,0.00,0.49,40500.00,278611.00,198241.00,630.00,No,No,No
2007,14757.00,114.00,29664.00,44421.00,13500.00,16278.00,0.00,0.50,40500.00,278744.00,198430.00,686.00,No,No,No
2008,14586.00,49.00,28094.00,42680.00,13500.00,14643.00,0.00,0.48,40500.00,266324.00,186020.00,696.00,No,No,No
2009,9793.00,105.00,18251.00,28044.00,13500.00,4856.00,0.00,0.45,40500.00,236114.00,155806.00,692.00,No,No,No
2010,9143.00,65.00,13037.00,22180.00,13500.00,0.00,0.00,0.37,40500.00,184039.00,104073.00,636.00,No,No,No
2011,10650.00,72.00,15731.00,26381.00,13500.00,2303.00,0.00,0.29,40500.00,144082.00,63994.00,514.00,No,No,No
2012,753.00,38.00,22453.00,23206.00,13500.00,8991.00,0.00,0.25,40500.00,127230.00,47071.00,443.00,No,No,No
2013,2077.00,32.00,12305.00,14382.00,13500.00,0.00,0.00,0.20,40500.00,109871.00,30793.00,361.00,No,No,No
2014,1423.00,32.00,11980.00,13403.00,13500.00,0.00,0.00,0.13,40500.00,93757.00,16150.00,344.00,No,No,No
2015,5971.00,40.00,16825.00,22796.00,13500.00,3365.00,0.00,0.12,40500.00,92331.00,14659.00,279.00,No,No,No
2016,10453.00,102.00,14676.00,25129.00,13500.00,1278.00,0.00,0.13,40500.00,93970.00,15937.00,316.00,No,No,No
2017,10647.00,41.00,20615.00,31262.00,13500.00,7156.00,0.00,0.16,40500.00,98854.00,20790.00,285.00,No,No,No
2018,1222.00,103.00,17289.00,18511.00,13500.00,3892.00,0.00,0.13,40500.00,93690.00,15691.00,350.00,No,No,No
2019,1633.00,29.00,11638.00,13271.00,13500.00,0.00,0.00,0.13,40500.00,93023.00,15691.00,347.00,No,No,No
2020,310.00,29.00,11909.00,12219.00,13500.00,0.00,0.00,0.13,40500.00,92952.00,15691.00,344.00,No,No,No
2021,518.00,25.00,12147.00,12665.00,13500.00,0.00,0.00,0.11,40500.00,88274.00,12326.00,329.00,No,No,No
2022,139.00,0.00,13974.00,14113.00,,,,,,,,,,,
2023,0.00,0.00,14502.00,0.00,,,,,,,,,,,
