Year,Kenai Total Run Forecast,Kenai Total Run Actual,Kenai total run Actual - Forecast,Kenai Total Run Absolute Percentage Error,Predicted State Harvest to inform Tier 1 harvest estimate,Tier 1 Method Kenai EEZ Harvest Forecast (Baseline ABC),Kenai EEZ Actual Estimated Harvest,,,,Tier 3 Method Kenai EEZ Harvest Forecast (5-year harvest average),5-yr Average EEZ Harvest Forecast MAPE,,
1999.00,1649000.00,2984568.00,1335568.00,0.45,,,340624.00,,,,,,,
2000.00,2453000.00,1814779.00,-638221.00,0.35,,,181290.00,,,,,,,
2001.00,2438000.00,2189670.00,-248330.00,0.11,,,220959.00,,,,,,,
2002.00,1713000.00,3466762.00,1753762.00,0.51,,,359658.00,,,,,,,
2003.00,2044000.00,4439571.00,2395571.00,0.54,,,431228.00,,,,306752.00,124476.00,,
2004.00,3193000.00,5705141.00,2512141.00,0.44,,,716343.00,,,,381896.00,334447.00,,
2005.00,3319000.00,6109173.00,2790173.00,0.46,,,857243.00,,,,517086.00,340157.00,,
2006.00,1849000.00,2848597.00,999597.00,0.35,,,106569.00,,,,494208.00,-387639.00,,
2007.00,2411000.00,3601777.00,1190777.00,0.33,,,774157.00,,,,577108.00,197049.00,,
2008.00,3064000.00,2082431.00,-981569.00,0.47,,,219509.00,,,,534764.00,-315255.00,,
2009.00,2441000.00,2430414.00,-10586.00,0.00,,,327608.00,,,,457017.00,-129409.00,,
2010.00,1672000.00,3596458.00,1924458.00,0.54,,,672359.00,,,,420040.00,252319.00,,
2011.00,3941000.00,6263091.00,2322091.00,0.37,,,1140273.00,,,,626781.00,513492.00,,
2012.00,4026000.00,4769681.00,743681.00,0.16,,,1213601.00,,,,714670.00,498931.00,,
2013.00,4374000.00,3628121.00,-745879.00,0.21,,,682571.00,,,,807282.00,-124711.00,,
2014.00,3792000.00,3404034.00,-387966.00,0.11,,,503605.00,,,,842482.00,-338877.00,,
2015.00,3550000.00,3819016.00,269016.00,0.07,,,238228.00,,,,755656.00,-517428.00,,
2016.00,4731000.00,3711842.00,-1019158.00,0.27,,,399557.00,,,,607512.00,-207955.00,,
2017.00,2164000.00,2595720.00,431720.00,0.17,,,201523.00,,,,405097.00,-203574.00,,
2018.00,2485000.00,1566210.00,-918790.00,0.59,,,97475.00,,,,288078.00,-190603.00,,
2019.00,3814000.00,3542442.00,-271558.00,0.08,,,252320.00,,,,237821.00,14499.00,,
2020.00,2231000.00,2394018.00,163018.00,0.07,,,50453.00,,,,200266.00,-149813.00,,
2021.00,2325000.00,3992341.00,1667341.00,0.42,,,255593.00,,,,171473.00,84120.00,,
2022.00,2902000.00,,,,,,,,,,,,,
2023.00,2821170.00,,,,,,,,,,,,,
2024.00,,,,,,,,,,,,,,
