Year,Total Catch,EEZ Catch,OFL,Max ABC,Cumulative Catch,Max ABC Exceeded?
1999.00,179720.00,80551.00,,,,
2000.00,133335.00,62061.00,,,,
2001.00,90953.00,36633.00,,,,
2002.00,245784.00,116282.00,560932.00,504839.00,295527.00,No
2003.00,126146.00,53224.00,560932.00,504839.00,268200.00,No
2004.00,151246.00,64510.00,560932.00,504839.00,270649.00,No
2005.00,73992.00,33787.00,560932.00,504839.00,267803.00,No
2006.00,67753.00,33259.00,560932.00,504839.00,184780.00,No
2007.00,79871.00,46255.00,560932.00,504839.00,177811.00,No
2008.00,53862.00,23460.00,560932.00,504839.00,136761.00,No
2009.00,86817.00,41179.00,560932.00,504839.00,144153.00,No
2010.00,233038.00,122502.00,560932.00,504839.00,233396.00,No
2011.00,134114.00,48972.00,560932.00,504839.00,236113.00,No
2012.00,274157.00,140233.00,560932.00,504839.00,352886.00,No
2013.00,145038.00,76391.00,560932.00,504839.00,388098.00,No
2014.00,122739.00,57216.00,560932.00,504839.00,322812.00,No
2015.00,281694.00,116190.00,560932.00,504839.00,390030.00,No
2016.00,127623.00,39656.00,560932.00,504839.00,289453.00,No
2017.00,249251.00,103807.00,560932.00,504839.00,316869.00,No
2018.00,118603.00,64550.00,560932.00,504839.00,324203.00,No
2019.00,132645.00,53994.00,560932.00,504839.00,262007.00,No
2020.00,33287.00,7681.00,560932.00,504839.00,230032.00,No
2021.00,73235.00,29239.00,560932.00,504839.00,155464.00,No
