Year,Total Catch,EEZ Catch,Deshka R.,Little Susitna R.,Total Esc,Total Run,Esc Goal,Potential Yield EEZ,FEEZ,MFMT,MSST,Cumulative Escapement,ACL,Cumulative Catch,Overfishing?,Overfished?,ACL Exceeded?
1999,257704.00,29177.00,4566.00,3017.00,7583.00,265287.00,20300.00,16460.00,,,,,,,,,
2000,443988.00,68810.00,26387.00,15436.00,41823.00,485811.00,20300.00,90333.00,,,,,,,,,
2001,320985.00,19384.00,29927.00,30587.00,60514.00,381499.00,20300.00,59598.00,,,,,,,,,
2002,465327.00,66185.00,24612.00,47938.00,72550.00,537877.00,20300.00,118435.00,0.11,0.17,40600.00,182470.00,284826.00,183556.00,No,No,No
2003,261952.00,26096.00,17305.00,10877.00,28182.00,290134.00,20300.00,33978.00,0.11,0.18,40600.00,203069.00,302344.00,180475.00,No,No,No
2004,509533.00,92888.00,62940.00,40199.00,103139.00,612672.00,20300.00,175727.00,0.11,0.21,40600.00,264385.00,387738.00,204553.00,No,No,No
2005,391817.00,64728.00,47887.00,16839.00,64726.00,456543.00,20300.00,109154.00,0.13,0.23,40600.00,268597.00,437294.00,249897.00,No,No,No
2006,359893.00,44646.00,59419.00,8786.00,68205.00,428098.00,20300.00,92551.00,0.13,0.23,40600.00,264252.00,411410.00,228358.00,No,No,No
2007,316900.00,65791.00,10575.00,17573.00,28148.00,345048.00,20300.00,73639.00,0.15,0.25,40600.00,264218.00,451071.00,268053.00,No,No,No
2008,357443.00,38407.00,12724.00,18485.00,31209.00,388652.00,20300.00,49316.00,0.13,0.20,40600.00,192288.00,324660.00,213572.00,No,No,No
2009,315690.00,37456.00,27348.00,9523.00,36871.00,352561.00,20300.00,54027.00,0.12,0.18,40600.00,164433.00,269533.00,186300.00,No,No,No
2010,353653.00,59497.00,10393.00,9214.00,19607.00,373260.00,20300.00,58804.00,0.14,0.16,40600.00,115835.00,235786.00,201151.00,No,No,No
2011,203893.00,18580.00,7326.00,4826.00,12152.00,216045.00,20300.00,10432.00,0.12,0.13,40600.00,99839.00,172579.00,153940.00,No,No,No
2012,197966.00,36416.00,6825.00,6779.00,13604.00,211570.00,20300.00,29720.00,0.13,0.13,40600.00,82234.00,152983.00,151949.00,No,No,No
2013,382699.00,109846.00,22141.00,13583.00,35724.00,418423.00,20300.00,125270.00,0.18,0.18,40600.00,81087.00,224226.00,224339.00,Yes,No,Yes
2014,280218.00,33163.00,11578.00,24211.00,35789.00,316007.00,20300.00,48652.00,0.17,0.18,40600.00,97269.00,214074.00,198005.00,No,No,No
2015,377887.00,54489.00,10775.00,12756.00,23531.00,401418.00,20300.00,57720.00,0.17,0.19,40600.00,108648.00,261362.00,233914.00,No,No,No
2016,231482.00,34640.00,6820.00,10049.00,16869.00,248351.00,20300.00,31209.00,0.17,0.19,40600.00,111913.00,262851.00,232138.00,No,No,No
2017,416258.00,76492.00,36869.00,17781.00,54650.00,470908.00,20300.00,110842.00,0.14,0.17,40600.00,130839.00,248423.00,198784.00,No,No,No
2018,362708.00,60426.00,13072.00,7583.00,20655.00,383363.00,20300.00,60781.00,0.15,0.17,40600.00,115705.00,260552.00,226047.00,No,No,No
2019,273194.00,39361.00,10445.00,4229.00,14674.00,287868.00,20300.00,33735.00,0.15,0.17,40600.00,106848.00,236567.00,210919.00,No,No,No
2020,226730.00,1621.00,,10765.00,10765.00,237495.00,20300.00,0.00,0.13,0.15,40600.00,100744.00,205358.00,177900.00,No,No,No
2021,277020.00,33047.00,,10923.00,10923.00,287943.00,20300.00,23670.00,0.11,0.10,40600.00,57017.00,118186.00,134455.00,Yes,No,Yes
