Year,Total Catch,EEZ Catch,OFL,Max ABC,Max ABC Exceeded?
2000,189728.00,42595.00,150023.00,135021.00,No
2002,490034.00,114737.00,150023.00,135021.00,No
2004,393589.00,103094.00,150023.00,135021.00,No
2006,442423.00,90616.00,150023.00,135021.00,No
2008,208092.00,49503.00,150023.00,135021.00,No
2010,320840.00,89935.00,150023.00,135021.00,No
2012,498572.00,132790.00,150023.00,135021.00,No
2014,703285.00,150023.00,150023.00,135021.00,Yes
2016,425497.00,109481.00,150023.00,135021.00,No
2018,172974.00,38981.00,150023.00,135021.00,No
2020,395430.00,11828.00,150023.00,135021.00,No
