Year,Total Catch,EEZ Catch,Esc,Run,Esc Goal,Potential Yield EEZ,FEEZ,MFMT,MSST,Cumulative Escapement,ACL,Cumulative Catch,Overfishing?,Overfished?,ACL Exceeded?
1999,648575.00,156824.00,125775.00,774350.00,150000.00,132599.00,,,,,,,,,
2000,434858.00,119113.00,152627.00,587485.00,150000.00,121740.00,,,,,,,,,
2001,456081.00,109011.00,127001.00,583082.00,150000.00,86012.00,,,,,,,,,
2002,634198.00,143699.00,169074.00,803272.00,110000.00,202773.00,,,,,,,,,
2003,620332.00,233954.00,273111.00,893443.00,110000.00,397065.00,0.21,0.26,335000.00,847588.00,940189.00,762601.00,No,No,No
2004,759438.00,217801.00,93438.00,852876.00,110000.00,201239.00,0.22,0.27,315000.00,815251.00,1008829.00,823578.00,No,No,No
2005,676378.00,61373.00,51136.00,727514.00,110000.00,2509.00,0.20,0.23,295000.00,713760.00,889598.00,765838.00,No,No,No
2006,255955.00,38546.00,124613.00,380568.00,110000.00,53159.00,0.19,0.23,275000.00,711372.00,856745.00,695373.00,No,No,No
2007,650879.00,229734.00,107849.00,758728.00,110000.00,227583.00,0.22,0.24,275000.00,650147.00,881555.00,781408.00,No,No,No
2008,424069.00,85106.00,109485.00,533554.00,110000.00,84591.00,0.19,0.18,275000.00,486521.00,569081.00,632560.00,Yes,No,Yes
2009,539840.00,135999.00,186747.00,726587.00,80000.00,242746.00,0.18,0.20,260000.00,579830.00,610588.00,550758.00,No,No,No
2010,636906.00,201708.00,203360.00,840266.00,80000.00,325068.00,0.21,0.29,245000.00,732054.00,933147.00,691093.00,No,No,No
2011,834648.00,254210.00,189165.00,1023813.00,80000.00,363375.00,0.23,0.32,230000.00,796606.00,1243363.00,906757.00,No,No,No
2012,472767.00,166148.00,90821.00,563588.00,80000.00,176969.00,0.23,0.32,215000.00,779578.00,1192749.00,843171.00,No,No,No
2013,506729.00,143884.00,125376.00,632105.00,80000.00,189260.00,0.24,0.34,200000.00,795469.00,1297418.00,901949.00,No,No,No
2014,469175.00,136438.00,104948.00,574123.00,80000.00,161386.00,0.25,0.34,200000.00,713670.00,1216058.00,902388.00,No,No,No
2015,504962.00,70489.00,243324.00,748286.00,80000.00,233813.00,0.22,0.32,200000.00,753634.00,1124803.00,771169.00,No,No,No
2016,308201.00,48990.00,121327.00,429528.00,80000.00,90317.00,0.19,0.29,200000.00,685796.00,851745.00,565949.00,No,No,No
2017,656080.00,131865.00,156052.00,812132.00,65000.00,222917.00,0.17,0.28,192500.00,751027.00,897693.00,531666.00,No,No,No
2018,361858.00,79263.00,146090.00,507948.00,65000.00,160353.00,0.15,0.28,185000.00,771741.00,868786.00,467045.00,No,No,No
2019,448705.00,73049.00,155558.00,604263.00,65000.00,163607.00,0.13,0.28,177500.00,822351.00,871007.00,403656.00,No,No,No
2020,230842.00,13142.00,107527.00,338369.00,65000.00,55669.00,0.13,0.26,170000.00,686554.00,692863.00,346309.00,No,No,No
2021,367315.00,54303.00,170757.00,538072.00,65000.00,160060.00,0.13,0.27,162500.00,735984.00,762606.00,351622.00,No,No,No
